EventTime,Disposition,SrcAddr,DstAddr,Dpt,Spt
2026-05-20 08:00:34,permit,192.168.1.37,172.20.1.8,8080,22047
2026-05-20 08:00:38,permit,10.0.0.10,10.10.10.10,123,2335
2026-05-20 08:00:57,permit,192.168.1.25,192.168.100.5,8080,51770
2026-05-20 08:01:04,permit,10.0.0.6,10.10.20.15,80,19453
2026-05-20 08:01:36,permit,192.168.1.25,10.10.30.25,443,49732
2026-05-20 08:01:51,permit,10.0.0.8,10.10.10.10,22,12204
2026-05-20 08:02:27,permit,192.168.1.31,10.10.10.5,53,43608
2026-05-20 08:03:02,permit,192.168.1.19,10.10.10.5,445,52846
2026-05-20 08:03:09,permit,10.0.0.6,10.10.30.25,8080,9561
2026-05-20 08:03:43,deny,192.168.1.33,10.10.10.10,8443,49955
2026-05-20 08:03:56,permit,192.168.1.32,192.168.100.20,8443,37321
2026-05-20 08:04:21,permit,10.0.0.13,192.168.100.20,445,19507
2026-05-20 08:04:40,permit,192.168.1.31,10.10.10.10,22,17504
2026-05-20 08:05:07,deny,192.168.1.35,192.168.100.5,22,16752
2026-05-20 08:05:15,permit,192.168.1.30,10.10.10.5,445,28018
2026-05-20 08:05:50,deny,192.168.1.38,10.10.30.25,80,53628
2026-05-20 08:05:55,permit,192.168.1.13,10.10.10.5,123,21891
2026-05-20 08:06:31,permit,192.168.1.35,10.10.10.10,80,36778
2026-05-20 08:06:33,permit,10.0.0.6,192.168.100.20,123,8535
2026-05-20 08:06:35,permit,192.168.1.27,10.10.10.5,445,26054
2026-05-20 08:06:50,deny,192.168.1.15,10.10.30.25,22,33954
2026-05-20 08:07:14,permit,192.168.1.16,10.10.30.25,8443,12707
2026-05-20 08:07:38,permit,192.168.1.27,10.10.30.25,8443,34941
2026-05-20 08:07:43,permit,10.0.0.17,10.10.30.25,443,33779
2026-05-20 08:07:53,permit,192.168.1.34,172.20.1.8,3389,3433
2026-05-20 08:08:02,permit,192.168.1.11,192.168.100.20,8080,35046
2026-05-20 08:08:20,permit,192.168.1.15,10.10.20.15,53,15457
2026-05-20 08:08:31,permit,10.0.0.10,10.10.20.15,8080,6664
2026-05-20 08:08:45,permit,10.0.0.8,10.10.20.15,8443,30142
2026-05-20 08:09:22,permit,192.168.1.38,10.10.10.10,8443,6818
2026-05-20 08:09:25,permit,192.168.1.18,172.20.1.8,53,5480
2026-05-20 08:09:26,permit,192.168.1.38,10.10.10.5,80,48990
2026-05-20 08:09:34,permit,10.0.0.5,192.168.100.20,445,48484
2026-05-20 08:09:41,permit,10.0.0.8,10.10.20.15,3389,3114
2026-05-20 08:09:46,permit,192.168.1.35,172.20.1.8,22,25367
2026-05-20 08:09:47,permit,10.0.0.10,172.20.1.8,22,10781
2026-05-20 08:10:22,permit,10.0.0.11,192.168.100.20,22,60283
2026-05-20 08:10:32,permit,10.0.0.7,10.10.30.25,123,25765
2026-05-20 08:11:00,permit,10.0.0.7,10.10.30.25,8080,35507
2026-05-20 08:11:21,permit,10.0.0.15,10.10.10.10,53,35721
2026-05-20 08:11:40,permit,10.0.0.17,10.10.10.10,443,4384
2026-05-20 08:11:49,permit,192.168.1.38,10.10.20.15,80,4656
2026-05-20 08:12:25,permit,192.168.1.30,10.10.30.25,22,42267
2026-05-20 08:13:00,permit,10.0.0.8,10.10.20.15,8443,51275
2026-05-20 08:13:40,permit,192.168.1.39,10.10.10.5,22,51898
2026-05-20 08:14:11,permit,192.168.1.14,10.10.10.5,3389,31256
2026-05-20 08:14:18,permit,192.168.1.34,10.10.20.15,445,43825
2026-05-20 08:14:46,permit,10.0.0.11,10.10.30.25,3389,41659
2026-05-20 08:14:49,permit,192.168.1.31,10.10.20.15,8080,48349
2026-05-20 08:15:17,permit,10.0.0.6,10.10.10.10,3389,16520
2026-05-20 08:15:21,permit,192.168.1.13,172.20.1.8,123,20924
2026-05-20 08:15:53,permit,192.168.1.16,10.10.20.15,80,4448
2026-05-20 08:16:23,permit,192.168.1.29,172.20.1.8,8080,30814
2026-05-20 08:16:40,permit,192.168.1.10,172.20.1.8,22,30206
2026-05-20 08:16:57,permit,10.0.0.16,10.10.30.25,80,41874
2026-05-20 08:17:01,permit,192.168.1.14,10.10.30.25,445,14255
2026-05-20 08:17:34,permit,192.168.1.31,10.10.10.5,22,5741
2026-05-20 08:17:58,permit,192.168.1.26,10.10.20.15,80,11377
2026-05-20 08:18:04,permit,10.0.0.6,10.10.20.15,22,19091
2026-05-20 08:18:06,permit,192.168.1.15,192.168.100.20,8443,58955
2026-05-20 08:18:22,permit,192.168.1.18,10.10.10.5,53,10280
2026-05-20 08:18:44,permit,192.168.1.37,192.168.100.5,22,34087
2026-05-20 08:18:56,permit,192.168.1.37,172.20.1.8,445,52640
2026-05-20 08:19:01,permit,10.0.0.11,192.168.100.20,123,58898
2026-05-20 08:19:11,deny,10.0.0.6,172.20.1.8,8443,46382
2026-05-20 08:19:42,permit,192.168.1.25,10.10.10.5,8443,57859
2026-05-20 08:20:22,permit,192.168.1.24,192.168.100.20,445,21541
2026-05-20 08:20:36,permit,192.168.1.20,192.168.100.5,8443,63580
2026-05-20 08:21:01,permit,192.168.1.23,192.168.100.20,53,25262
2026-05-20 08:21:36,permit,192.168.1.35,10.10.30.25,8080,34455
2026-05-20 08:21:41,permit,192.168.1.27,10.10.30.25,445,51194
2026-05-20 08:21:56,permit,192.168.1.20,172.20.1.8,123,45138
2026-05-20 08:22:11,permit,192.168.1.20,10.10.10.5,53,7342
2026-05-20 08:22:50,permit,192.168.1.16,172.20.1.8,8080,48961
2026-05-20 08:22:57,permit,10.0.0.11,192.168.100.20,3389,22325
2026-05-20 08:23:24,deny,192.168.1.19,10.10.10.5,8443,12735
2026-05-20 08:23:59,permit,10.0.0.9,192.168.100.20,443,57401
2026-05-20 08:24:14,permit,10.0.0.5,192.168.100.5,445,18973
2026-05-20 08:24:37,permit,192.168.1.39,10.10.30.25,3389,6042
2026-05-20 08:25:13,permit,10.0.0.15,172.20.1.8,3389,28709
2026-05-20 08:25:48,permit,192.168.1.23,10.10.30.25,80,43139
2026-05-20 08:25:53,permit,10.0.0.5,192.168.100.5,8443,15425
2026-05-20 08:26:10,permit,192.168.1.33,10.10.20.15,123,34757
2026-05-20 08:26:21,permit,192.168.1.28,192.168.100.20,8080,23269
2026-05-20 08:26:37,permit,192.168.1.32,10.10.20.15,123,20927
2026-05-20 08:26:55,permit,192.168.1.25,10.10.10.10,80,39935
2026-05-20 08:26:57,permit,10.0.0.7,10.10.20.15,22,1929
2026-05-20 08:27:25,permit,192.168.1.29,172.20.1.8,8443,23254
2026-05-20 08:27:38,permit,192.168.1.37,192.168.100.20,8443,2046
2026-05-20 08:28:04,permit,10.0.0.5,10.10.20.15,443,15242
2026-05-20 08:28:39,permit,192.168.1.29,10.10.20.15,123,32777
2026-05-20 08:29:12,permit,10.0.0.14,10.10.20.15,123,62950
2026-05-20 08:29:20,permit,10.0.0.7,192.168.100.5,80,23100
2026-05-20 08:29:57,permit,192.168.1.17,172.20.1.8,3389,12680
2026-05-20 08:30:19,permit,10.0.0.5,10.10.10.5,443,22014
2026-05-20 08:30:20,deny,192.168.1.27,192.168.100.5,445,21547
2026-05-20 08:30:22,deny,192.168.1.26,10.10.30.25,8080,49426
2026-05-20 08:30:37,permit,10.0.0.10,172.20.1.8,443,34678
2026-05-20 08:31:13,permit,192.168.1.19,10.10.20.15,8443,3683
2026-05-20 08:31:20,permit,10.0.0.18,192.168.100.20,8443,56013
2026-05-20 08:31:56,permit,10.0.0.8,10.10.20.15,123,19966
2026-05-20 08:32:17,permit,10.0.0.5,172.20.1.8,443,7167
2026-05-20 08:32:37,permit,192.168.1.17,10.10.10.5,8443,58392
2026-05-20 08:32:41,permit,192.168.1.38,10.10.20.15,445,28671
2026-05-20 08:33:09,permit,192.168.1.37,10.10.30.25,445,27140
2026-05-20 08:33:42,permit,192.168.1.18,10.10.20.15,3389,19359
2026-05-20 08:33:45,permit,192.168.1.28,172.20.1.8,22,64705
2026-05-20 08:34:15,permit,192.168.1.18,10.10.10.10,22,20827
2026-05-20 08:34:39,permit,10.0.0.10,10.10.30.25,443,11312
2026-05-20 08:34:46,permit,192.168.1.29,172.20.1.8,445,19046
2026-05-20 08:35:09,permit,192.168.1.39,10.10.10.10,443,7057
2026-05-20 08:35:21,permit,192.168.1.13,192.168.100.5,445,32562
2026-05-20 08:35:22,permit,192.168.1.36,192.168.100.20,80,56097
2026-05-20 08:35:57,deny,192.168.1.26,172.20.1.8,53,54743
2026-05-20 08:36:02,permit,192.168.1.38,10.10.30.25,123,18412
2026-05-20 08:36:32,permit,192.168.1.36,192.168.100.5,3389,9878
2026-05-20 08:37:03,permit,192.168.1.34,192.168.100.20,8443,31599
2026-05-20 08:37:11,permit,192.168.1.38,10.10.10.5,8443,53291
2026-05-20 08:37:18,permit,10.0.0.10,172.20.1.8,53,46585
2026-05-20 08:37:42,deny,192.168.1.35,10.10.10.10,22,2152
2026-05-20 08:37:53,permit,192.168.1.39,192.168.100.20,80,3347
2026-05-20 08:38:15,permit,10.0.0.12,10.10.10.10,53,45909
2026-05-20 08:38:22,permit,10.0.0.8,192.168.100.20,80,43938
2026-05-20 08:38:50,permit,10.0.0.15,192.168.100.20,3389,1053
2026-05-20 08:39:27,permit,192.168.1.14,192.168.100.20,8080,40625
2026-05-20 08:39:51,permit,192.168.1.10,10.10.10.5,8080,13481
2026-05-20 08:40:26,permit,192.168.1.14,10.10.30.25,8080,64729
2026-05-20 08:41:00,permit,192.168.1.21,10.10.20.15,443,52583
2026-05-20 08:41:09,permit,192.168.1.20,10.10.10.5,8080,23414
2026-05-20 08:41:37,permit,192.168.1.38,192.168.100.5,445,26236
2026-05-20 08:41:53,permit,10.0.0.17,10.10.10.10,443,56683
2026-05-20 08:42:20,permit,192.168.1.38,10.10.20.15,80,44438
2026-05-20 08:42:42,permit,192.168.1.21,10.10.10.10,445,55711
2026-05-20 08:42:51,permit,192.168.1.10,10.10.10.10,8080,18329
2026-05-20 08:43:22,permit,192.168.1.37,192.168.100.20,8080,17489
2026-05-20 08:43:45,permit,192.168.1.15,192.168.100.5,53,54943
2026-05-20 08:44:17,permit,192.168.1.27,10.10.20.15,445,30996
2026-05-20 08:44:57,permit,192.168.1.25,10.10.20.15,8080,55282
2026-05-20 08:44:59,permit,192.168.1.11,192.168.100.5,8080,55817
2026-05-20 08:45:11,permit,10.0.0.16,10.10.20.15,80,32726
2026-05-20 08:45:38,permit,192.168.1.10,10.10.30.25,3389,26716
2026-05-20 08:45:44,permit,192.168.1.37,172.20.1.8,445,49843
2026-05-20 08:45:55,permit,10.0.0.17,192.168.100.5,8080,2723
2026-05-20 08:46:14,deny,10.0.0.7,10.10.10.10,8443,4686
2026-05-20 08:46:40,permit,192.168.1.19,10.10.20.15,22,24518
2026-05-20 08:47:04,permit,192.168.1.26,172.20.1.8,8443,7148
2026-05-20 08:47:09,permit,10.0.0.10,172.20.1.8,22,20271
2026-05-20 08:47:46,permit,10.0.0.13,172.20.1.8,8443,1691
2026-05-20 08:47:52,permit,192.168.1.29,192.168.100.20,8080,13255
2026-05-20 08:48:02,permit,192.168.1.35,10.10.10.5,3389,26816
2026-05-20 08:48:05,permit,10.0.0.12,10.10.20.15,22,47890
2026-05-20 08:48:44,permit,192.168.1.29,10.10.10.10,3389,26458
2026-05-20 08:49:21,permit,192.168.1.31,192.168.100.20,443,56159
2026-05-20 08:49:22,permit,192.168.1.30,10.10.10.5,53,57903
2026-05-20 08:49:24,permit,10.0.0.8,192.168.100.5,123,29461
2026-05-20 08:49:56,permit,192.168.1.15,192.168.100.20,53,57256
2026-05-20 08:50:03,permit,192.168.1.11,192.168.100.20,53,43784
2026-05-20 08:50:34,permit,192.168.1.17,192.168.100.5,22,2625
2026-05-20 08:51:09,permit,192.168.1.24,10.10.10.5,443,45923
2026-05-20 08:51:23,permit,192.168.1.22,10.10.10.10,22,54261
2026-05-20 08:51:57,permit,192.168.1.32,10.10.10.10,53,42982
2026-05-20 08:52:21,permit,10.0.0.7,192.168.100.20,123,13463
2026-05-20 08:52:41,permit,10.0.0.8,172.20.1.8,80,24673
2026-05-20 08:53:18,permit,192.168.1.39,10.10.10.5,22,65352
2026-05-20 08:53:45,deny,192.168.1.34,10.10.20.15,123,46109
2026-05-20 08:54:08,permit,10.0.0.7,192.168.100.5,8443,62328
2026-05-20 08:54:34,permit,192.168.1.29,192.168.100.5,8080,28761
2026-05-20 08:55:02,permit,192.168.1.27,10.10.20.15,22,51427
2026-05-20 08:55:08,permit,192.168.1.13,192.168.100.20,80,26024
2026-05-20 08:55:09,permit,10.0.0.9,10.10.10.10,22,54146
2026-05-20 08:55:34,permit,192.168.1.32,192.168.100.5,3389,46552
2026-05-20 08:55:44,permit,10.0.0.10,172.20.1.8,3389,51048
2026-05-20 08:55:48,permit,192.168.1.17,10.10.10.5,53,50964
2026-05-20 08:56:26,permit,192.168.1.38,10.10.10.10,8080,20398
2026-05-20 08:57:06,permit,10.0.0.17,192.168.100.5,80,52274
2026-05-20 08:57:38,permit,192.168.1.15,10.10.10.5,22,43481
