source_ip,source_port,destination_ip,destination_port
192.168.1.15,49622,10.10.10.5,123
192.168.1.22,45372,10.10.10.10,8443
192.168.1.15,3106,172.20.1.8,123
192.168.1.35,37805,10.10.10.5,8443
172.16.4.20,30463,10.10.30.25,22
192.168.1.22,23322,172.20.1.8,123
10.0.0.12,7102,10.10.10.10,445
10.0.0.12,53919,192.168.100.5,8080
203.0.113.8,64798,10.10.10.10,2315
203.0.113.8,55379,192.168.100.5,445
198.51.100.14,47198,10.10.30.25,123
10.0.0.5,57078,10.10.10.10,53
172.16.4.20,30738,192.168.100.5,445
192.168.1.22,24307,192.168.100.20,443
192.168.1.15,36029,10.10.20.15,80
172.16.4.55,18715,172.20.1.8,4622
10.0.0.12,16034,10.10.10.5,6192
172.16.4.20,5361,192.168.100.5,445
192.168.1.35,26952,172.20.1.12,8541
192.168.1.22,10174,192.168.100.5,8443
203.0.113.8,49980,192.168.100.5,3389
10.0.0.12,10089,10.10.30.25,53
192.168.1.10,11040,10.10.10.10,3389
198.51.100.14,26240,10.10.10.10,8080
203.0.113.8,64664,192.168.100.5,22
192.168.1.15,51394,192.168.100.5,53
10.0.0.5,11389,172.20.1.8,443
203.0.113.8,34295,10.10.20.15,5913
203.0.113.8,11040,10.10.30.25,80
203.0.113.8,40276,10.10.10.5,22
192.168.1.15,58611,192.168.100.20,6062
192.168.1.35,16809,10.10.10.5,2314
192.168.1.15,54502,172.20.1.12,8443
192.168.1.22,44261,10.10.20.15,8443
192.168.1.22,35605,192.168.100.5,7956
192.168.1.35,47747,10.10.30.25,445
172.16.4.55,8954,172.20.1.12,53
10.0.0.12,39579,10.10.10.5,123
192.168.1.10,47413,10.10.10.10,123
192.168.1.15,57361,10.10.10.5,8443
192.168.1.35,44866,192.168.100.5,8443
192.168.1.22,16949,172.20.1.12,3389
192.168.1.35,7376,10.10.10.10,445
172.16.4.20,31630,172.20.1.8,1911
192.168.1.15,27410,10.10.10.5,53
192.168.1.35,13489,10.10.30.25,80
172.16.4.20,19278,10.10.20.15,53
172.16.4.55,4339,10.10.10.10,8443
192.168.1.10,61734,10.10.10.10,123
192.168.1.22,32850,172.20.1.8,3389
192.168.1.10,25860,10.10.20.15,3389
10.0.0.5,19718,172.20.1.12,8443
172.16.4.55,13469,10.10.20.15,22
198.51.100.14,50043,10.10.10.5,22
198.51.100.14,33978,172.20.1.12,9725
192.168.1.22,63989,10.10.10.5,80
192.168.1.15,45274,10.10.10.10,7639
192.168.1.15,38964,10.10.30.25,53
172.16.4.20,62280,192.168.100.20,445
192.168.1.35,26962,192.168.100.5,443
172.16.4.55,61908,192.168.100.20,53
192.168.1.10,41732,172.20.1.12,2662
192.168.1.15,34177,10.10.30.25,445
192.168.1.15,25241,10.10.30.25,8080
203.0.113.8,41110,192.168.100.5,9690
192.168.1.10,62087,192.168.100.5,80
10.0.0.5,59332,10.10.10.10,8443
192.168.1.22,19489,192.168.100.5,445
192.168.1.35,34146,192.168.100.5,22
192.168.1.15,55376,172.20.1.8,22
10.0.0.12,42777,10.10.20.15,3671
172.16.4.55,37783,172.20.1.8,53
192.168.1.22,55720,10.10.10.5,8443
192.168.1.22,9376,172.20.1.8,445
192.168.1.10,14791,192.168.100.20,53
10.0.0.12,64845,172.20.1.8,80
192.168.1.35,65000,10.10.20.15,80
172.16.4.20,12778,10.10.10.5,445
172.16.4.20,18509,10.10.30.25,53
172.16.4.20,57292,10.10.10.5,123
172.16.4.55,21024,192.168.100.20,4752
192.168.1.35,44279,10.10.10.5,445
10.0.0.5,64390,10.10.10.10,445
203.0.113.8,45556,172.20.1.8,9809
10.0.0.12,8583,10.10.10.5,5303
192.168.1.22,3531,192.168.100.5,3389
10.0.0.12,29623,192.168.100.20,8443
192.168.1.15,59973,172.20.1.8,443
192.168.1.10,1134,172.20.1.8,8443
192.168.1.35,29289,192.168.100.20,445
198.51.100.14,44499,192.168.100.20,5944
203.0.113.8,44729,192.168.100.5,3389
10.0.0.5,13596,10.10.20.15,3389
192.168.1.22,27636,192.168.100.5,22
10.0.0.5,14798,192.168.100.5,445
172.16.4.55,30001,172.20.1.12,8443
172.16.4.55,44202,10.10.20.15,8443
198.51.100.14,7144,192.168.100.20,4872
10.0.0.5,53882,10.10.30.25,22
192.168.1.10,65507,10.10.30.25,53
